age_bin,gender,esl,almost_always,almost_certainly,always,certainly,frequently,likely,maybe,might_happen,more_often_than_not,never,not_often,often,possibly,probably,rarely,real_possibility,serious_possibility,slam_dunk,unlikely,usually,with_high_probability,with_low_probability,with_moderate_probability
25-30,F,E,99.0,95.0,100.0,100.0,75.0,85.0,40.0,50.0,75.0,0.0,10.0,80.0,75.0,85.0,10.0,85.0,90.0,100.0,10.0,75.0,95.0,25.0,50.0
25-30,F,E,99.0,95.0,100.0,100.0,75.0,85.0,40.0,50.0,75.0,0.0,10.0,80.0,75.0,85.0,10.0,85.0,90.0,100.0,10.0,75.0,95.0,25.0,50.0
25-30,F,E,95.0,85.0,99.0,90.0,75.0,75.0,50.0,50.0,51.0,1.0,5.0,65.0,50.0,75.0,10.0,40.0,80.0,99.0,25.0,75.0,95.0,20.0,50.0
25-30,F,E,95.0,95.0,100.0,99.0,70.0,65.0,50.0,40.0,55.0,0.0,10.0,70.0,30.0,70.0,20.0,40.0,60.0,100.0,35.0,80.0,80.0,20.0,70.0
25-30,F,E,100.0,90.0,80.0,70.0,75.0,70.0,50.0,50.0,65.0,0.0,40.0,80.0,50.0,70.0,10.0,70.0,70.0,50.0,20.0,95.0,70.0,40.0,50.0
25-30,F,E,95.0,90.0,95.0,90.0,80.0,65.0,50.0,50.0,65.0,10.0,30.0,75.0,60.0,75.0,10.0,50.0,80.0,90.0,20.0,68.0,85.0,20.0,75.0
25-30,F,E,100.0,90.0,80.0,70.0,75.0,70.0,50.0,50.0,65.0,0.0,40.0,80.0,50.0,70.0,10.0,70.0,70.0,50.0,20.0,95.0,70.0,40.0,50.0
25-30,F,E,95.0,89.0,100.0,99.0,78.0,55.0,50.0,80.0,80.0,0.0,5.0,70.0,45.0,65.0,10.0,80.0,90.0,100.0,5.0,70.0,96.0,20.0,80.0
25-30,F,E,70.0,95.0,100.0,99.0,50.0,60.0,50.0,25.0,66.0,0.0,30.0,50.0,50.0,60.0,20.0,60.0,60.0,95.0,30.0,50.0,75.0,25.0,50.0
25-30,F,E,90.0,90.0,100.0,100.0,80.0,63.0,50.0,50.0,60.0,0.0,35.0,65.0,35.0,63.0,25.0,80.0,70.0,100.0,37.0,70.0,70.0,30.0,50.0
25-30,F,E,90.0,95.0,100.0,100.0,75.0,70.0,50.0,40.0,60.0,0.0,25.0,75.0,45.0,80.0,10.0,80.0,90.0,100.0,20.0,85.0,80.0,10.0,50.0
25-30,F,E,95.0,99.0,100.0,97.0,70.0,80.0,55.0,50.0,55.0,0.0,20.0,75.0,51.0,85.0,3.0,80.0,98.0,98.0,10.0,85.0,95.0,5.0,60.0
25-30,F,E,80.0,75.0,95.0,90.0,70.0,,30.0,40.0,70.0,10.0,7.0,80.0,80.0,60.0,25.0,90.0,95.0,80.0,5.0,85.0,80.0,,50.0
25-30,F,S,75.0,85.0,100.0,90.0,80.0,55.0,50.0,85.0,65.0,0.0,10.0,75.0,65.0,60.0,5.0,75.0,85.0,0.0,5.0,70.0,95.0,15.0,45.0
25-30,F,S,75.0,85.0,100.0,90.0,80.0,55.0,50.0,85.0,65.0,0.0,10.0,75.0,65.0,60.0,5.0,75.0,85.0,0.0,5.0,70.0,95.0,15.0,45.0
25-30,F,S,70.0,76.0,90.0,86.0,50.0,56.0,50.0,47.0,53.0,9.0,47.0,69.0,51.0,50.0,38.0,78.0,79.0,50.0,35.0,54.0,67.0,39.0,63.0
25-30,F,S,98.0,90.0,100.0,95.0,70.0,75.0,50.0,50.0,60.0,0.0,15.0,70.0,40.0,60.0,15.0,65.0,60.0,90.0,10.0,70.0,80.0,15.0,55.0
25-30,M,E,95.0,95.0,99.0,95.0,65.0,60.0,50.0,50.0,80.0,0.0,25.0,70.0,50.0,75.0,5.0,80.0,85.0,90.0,15.0,85.0,90.0,10.0,60.0
25-30,M,E,85.0,90.0,99.0,90.0,75.0,60.0,50.0,40.0,51.0,0.0,15.0,60.0,25.0,70.0,10.0,30.0,40.0,99.0,20.0,80.0,90.0,5.0,20.0
25-30,M,E,85.0,90.0,99.0,90.0,75.0,60.0,50.0,40.0,51.0,0.0,15.0,60.0,25.0,70.0,10.0,30.0,40.0,99.0,20.0,80.0,90.0,5.0,20.0
25-30,M,E,95.0,96.0,99.0,7.0,80.0,60.0,50.0,40.0,55.0,1.0,40.0,75.0,50.0,75.0,10.0,40.0,50.0,100.0,20.0,85.0,90.0,10.0,50.0
25-30,M,E,90.0,90.0,100.0,100.0,75.0,70.0,50.0,25.0,60.0,0.0,15.0,80.0,30.0,75.0,5.0,50.0,80.0,90.0,20.0,70.0,85.0,15.0,50.0
25-30,M,E,95.0,80.0,100.0,90.0,70.0,80.0,25.0,20.0,55.0,0.0,35.0,75.0,20.0,70.0,10.0,40.0,45.0,95.0,15.0,80.0,75.0,15.0,40.0
25-30,M,E,95.0,97.0,99.0,99.0,60.0,75.0,45.0,40.0,65.0,1.0,25.0,80.0,50.0,75.0,10.0,40.0,75.0,95.0,20.0,75.0,85.0,15.0,50.0
25-30,M,E,95.0,95.0,90.0,90.0,70.0,80.0,50.0,40.0,60.0,0.0,15.0,75.0,25.0,70.0,10.0,70.0,75.0,95.0,5.0,60.0,95.0,20.0,55.0
25-30,M,E,85.0,85.0,100.0,95.0,80.0,75.0,40.0,33.0,67.0,0.0,25.0,75.0,50.0,75.0,20.0,67.0,67.0,95.0,33.0,75.0,75.0,20.0,60.0
25-30,M,E,90.0,80.0,100.0,100.0,50.0,80.0,50.0,30.0,51.0,0.0,15.0,60.0,30.0,70.0,5.0,30.0,60.0,90.0,30.0,51.0,80.0,20.0,70.0
25-30,M,E,90.0,85.0,99.0,95.0,35.0,75.0,30.0,20.0,55.0,5.0,15.0,60.0,10.0,65.0,10.0,20.0,30.0,95.0,20.0,70.0,75.0,15.0,40.0
25-30,M,E,90.0,95.0,100.0,100.0,80.0,75.0,40.0,50.0,65.0,0.0,30.0,70.0,45.0,70.0,20.0,55.0,80.0,98.0,15.0,60.0,75.0,25.0,55.0
25-30,M,E,98.0,99.0,100.0,100.0,70.0,65.0,40.0,40.0,51.0,0.0,20.0,80.0,1.0,75.0,10.0,20.0,30.0,99.0,15.0,90.0,85.0,10.0,50.0
25-30,M,E,95.0,98.0,99.0,,80.0,80.0,50.0,30.0,75.0,1.0,30.0,75.0,25.0,80.0,10.0,25.0,40.0,95.0,20.0,80.0,85.0,20.0,50.0
25-30,M,E,90.0,95.0,100.0,80.0,70.0,70.0,50.0,55.0,70.0,0.0,20.0,75.0,50.0,70.0,15.0,65.0,75.0,90.0,10.0,80.0,80.0,15.0,55.0
25-30,M,E,90.0,95.0,98.0,98.0,80.0,90.0,50.0,50.0,60.0,1.0,25.0,67.0,33.0,80.0,20.0,35.0,50.0,95.0,25.0,67.0,90.0,20.0,40.0
25-30,M,E,95.0,97.0,99.0,99.0,60.0,75.0,45.0,40.0,65.0,1.0,25.0,80.0,50.0,75.0,10.0,40.0,75.0,95.0,20.0,75.0,85.0,15.0,50.0
25-30,M,E,85.0,90.0,95.0,95.0,40.0,80.0,30.0,30.0,65.0,1.0,20.0,40.0,40.0,75.0,5.0,,30.0,95.0,15.0,80.0,99.0,0.0,90.0
25-30,M,E,95.0,90.0,100.0,100.0,80.0,80.0,20.0,20.0,60.0,0.0,30.0,70.0,10.0,70.0,5.0,25.0,40.0,99.0,10.0,70.0,95.0,5.0,50.0
25-30,M,E,90.0,80.0,100.0,85.0,70.0,60.0,50.0,25.0,60.0,0.0,30.0,75.0,50.0,80.0,10.0,50.0,80.0,80.0,40.0,70.0,90.0,20.0,40.0
25-30,M,E,80.0,90.0,100.0,100.0,30.0,60.0,10.0,35.0,60.0,0.0,15.0,25.0,10.0,70.0,3.0,25.0,20.0,90.0,5.0,70.0,75.0,10.0,40.0
25-30,M,E,95.0,90.0,100.0,100.0,80.0,75.0,50.0,50.0,75.0,0.0,15.0,90.0,50.0,65.0,20.0,65.0,75.0,99.0,20.0,60.0,80.0,15.0,70.0
25-30,M,E,65.0,90.0,99.0,80.0,70.0,75.0,50.0,49.0,51.0,1.0,20.0,60.0,40.0,90.0,25.0,60.0,85.0,100.0,10.0,80.0,80.0,10.0,50.0
25-30,M,E,95.0,85.0,100.0,95.0,75.0,80.0,50.0,60.0,55.0,0.0,25.0,85.0,50.0,60.0,5.0,65.0,70.0,99.0,20.0,80.0,90.0,15.0,55.0
25-30,M,E,90.0,98.0,95.0,100.0,60.0,70.0,45.0,30.0,65.0,10.0,20.0,70.0,50.0,65.0,20.0,40.0,55.0,95.0,15.0,65.0,85.0,20.0,55.0
25-30,M,E,80.0,90.0,90.0,100.0,80.0,75.0,45.0,35.0,60.0,5.0,30.0,75.0,30.0,70.0,15.0,50.0,35.0,95.0,25.0,75.0,80.0,5.0,50.0
25-30,M,E,90.0,95.0,99.0,98.0,30.0,75.0,20.0,20.0,60.0,1.0,15.0,60.0,25.0,75.0,5.0,40.0,40.0,90.0,10.0,85.0,75.0,10.0,40.0
25-30,M,E,90.0,95.0,100.0,100.0,65.0,75.0,50.0,50.0,51.0,0.0,30.0,75.0,50.0,70.0,20.0,80.0,60.0,95.0,20.0,80.0,90.0,25.0,70.0
25-30,M,E,95.0,95.0,99.0,98.0,80.0,75.0,65.0,1.0,51.0,0.0,25.0,5.0,1.0,75.0,1.0,1.0,1.0,99.0,3.0,75.0,90.0,2.0,35.0
25-30,M,E,90.0,90.0,95.0,100.0,70.0,75.0,60.0,50.0,65.0,0.0,20.0,65.0,50.0,60.0,10.0,80.0,65.0,100.0,25.0,70.0,85.0,15.0,60.0
25-30,M,E,90.0,90.0,99.0,99.0,77.0,66.0,30.0,35.0,60.0,1.0,20.0,68.0,25.0,75.0,10.0,33.0,55.0,85.0,20.0,66.0,80.0,20.0,50.0
25-30,M,E,90.0,95.0,100.0,95.0,70.0,65.0,50.0,40.0,55.0,0.0,30.0,70.0,50.0,70.0,20.0,60.0,50.0,98.0,30.0,75.0,80.0,40.0,60.0
25-30,M,E,95.0,95.0,98.0,99.0,85.0,75.0,50.0,35.0,66.0,0.0,10.0,75.0,40.0,80.0,2.0,70.0,80.0,95.0,25.0,75.0,95.0,15.0,60.0
25-30,M,E,90.0,95.0,100.0,90.0,75.0,85.0,35.0,40.0,60.0,0.0,15.0,75.0,33.0,70.0,10.0,70.0,85.0,95.0,20.0,80.0,80.0,15.0,80.0
25-30,M,E,95.0,95.0,100.0,100.0,70.0,75.0,45.0,15.0,55.0,0.0,20.0,70.0,65.0,65.0,5.0,65.0,60.0,100.0,35.0,65.0,85.0,25.0,60.0
25-30,M,E,95.0,95.0,100.0,100.0,70.0,15.0,45.0,15.0,55.0,100.0,20.0,70.0,65.0,65.0,5.0,65.0,60.0,100.0,35.0,65.0,85.0,25.0,0.0
25-30,M,E,95.0,97.0,100.0,90.0,68.0,60.0,60.0,33.0,60.0,0.0,20.0,70.0,40.0,65.0,20.0,65.0,70.0,95.0,20.0,75.0,80.0,35.0,50.0
25-30,M,E,90.0,95.0,100.0,95.0,30.0,70.0,30.0,20.0,60.0,0.0,20.0,25.0,20.0,65.0,10.0,15.0,33.0,95.0,30.0,70.0,80.0,5.0,40.0
25-30,M,E,90.0,95.0,100.0,90.0,75.0,85.0,35.0,40.0,60.0,0.0,15.0,75.0,33.0,70.0,10.0,70.0,85.0,95.0,20.0,80.0,80.0,15.0,80.0
25-30,M,E,98.0,98.0,100.0,100.0,85.0,75.0,50.0,40.0,65.0,0.0,20.0,80.0,45.0,80.0,15.0,60.0,85.0,95.0,25.0,75.0,90.0,15.0,70.0
25-30,M,E,90.0,99.0,100.0,100.0,80.0,60.0,50.0,50.0,70.0,0.0,30.0,80.0,60.0,75.0,10.0,60.0,70.0,95.0,20.0,70.0,80.0,15.0,60.0
25-30,M,E,90.0,80.0,99.0,95.0,75.0,80.0,45.0,50.0,60.0,1.0,4.0,75.0,50.0,60.0,5.0,80.0,95.0,90.0,15.0,65.0,95.0,10.0,60.0
25-30,M,E,95.0,99.0,99.0,96.0,85.0,80.0,50.0,50.0,55.0,1.0,30.0,90.0,50.0,65.0,5.0,65.0,70.0,95.0,20.0,75.0,92.0,10.0,40.0
25-30,M,E,95.0,99.0,100.0,99.0,80.0,60.0,50.0,35.0,60.0,0.0,20.0,75.0,30.0,60.0,20.0,45.0,70.0,95.0,25.0,60.0,90.0,10.0,60.0
25-30,M,E,90.0,95.0,100.0,85.0,98.0,65.0,50.0,30.0,60.0,0.0,25.0,75.0,20.0,70.0,5.0,40.0,50.0,95.0,20.0,85.0,90.0,5.0,40.0
25-30,M,E,95.0,85.0,99.0,99.0,40.0,66.0,40.0,20.0,51.0,1.0,20.0,75.0,30.0,66.0,15.0,25.0,40.0,95.0,20.0,65.0,80.0,20.0,55.0
25-30,M,E,99.0,99.0,99.0,99.0,80.0,70.0,50.0,25.0,55.0,1.0,20.0,60.0,30.0,75.0,10.0,65.0,95.0,99.0,40.0,70.0,90.0,40.0,65.0
